om,yr,mo,dy,date,time,tz,st,stf,stn,f
251,2009,4,10,2009-04-10,20:28:00,3,GA,13,0,EF-3
252,2009,4,10,2009-04-10,20:30:00,3,GA,13,0,EF-3
253,2009,4,10,2009-04-10,20:56:00,3,GA,13,0,EF-0
254,2009,4,10,2009-04-10,20:57:00,3,SC,45,0,EF-3
255,2009,4,10,2009-04-10,21:00:00,3,GA,13,0,EF-1
256,2009,4,10,2009-04-10,21:20:00,3,GA,13,0,EF-0
257,2009,4,10,2009-04-10,21:34:00,3,GA,13,0,EF-3
258,2009,4,10,2009-04-10,21:40:00,3,GA,13,0,EF-1
259,2009,4,10,2009-04-10,22:02:00,3,GA,13,0,EF-1
260,2009,4,10,2009-04-10,22:15:00,3,GA,13,0,EF-1
261,2009,4,10,2009-04-10,22:17:00,3,SC,45,0,EF-0
262,2009,4,10,2009-04-10,22:24:00,3,GA,13,0,EF-1
263,2009,4,10,2009-04-10,22:26:00,3,SC,45,0,EF-1
264,2009,4,10,2009-04-10,22:30:00,3,SC,45,0,EF-2
265,2009,4,10,2009-04-10,22:34:00,3,GA,13,0,EF-0
266,2009,4,10,2009-04-10,23:21:00,3,SC,45,0,EF-0
267,2009,4,11,2009-04-11,00:40:00,3,NC,37,0,EF-0
268,2009,4,11,2009-04-11,18:55:00,3,TX,48,0,EF-0
269,2009,4,12,2009-04-12,18:13:00,3,TX,48,0,EF-0
270,2009,4,13,2009-04-13,07:00:00,3,AL,1,0,EF-0
271,2009,4,13,2009-04-13,10:40:00,3,GA,13,0,EF-1
272,2009,4,13,2009-04-13,12:40:00,3,GA,13,0,EF-0
273,2009,4,13,2009-04-13,14:40:00,3,GA,13,0,EF-1
274,2009,4,13,2009-04-13,19:45:00,3,TN,47,0,EF-0
275,2009,4,13,2009-04-13,20:10:00,3,FL,12,0,EF-0
276,2009,4,14,2009-04-14,06:28:00,3,FL,12,0,EF-1
277,2009,4,14,2009-04-14,07:00:00,3,FL,12,0,EF-0
278,2009,4,14,2009-04-14,09:01:00,3,FL,12,0,EF-0
279,2009,4,16,2009-04-16,14:44:00,3,TX,48,0,EF-0
280,2009,4,16,2009-04-16,16:02:00,3,TX,48,0,EF-0
281,2009,4,16,2009-04-16,16:03:00,3,TX,48,0,EF-0
282,2009,4,16,2009-04-16,17:45:00,3,TX,48,0,EF-0
283,2009,4,16,2009-04-16,18:20:00,3,TX,48,0,EF-0
284,2009,4,16,2009-04-16,19:15:00,3,TX,48,0,EF-0
285,2009,4,16,2009-04-16,19:56:00,3,TX,48,0,EF-1
286,2009,4,16,2009-04-16,20:20:00,3,TX,48,0,EF-1
287,2009,4,16,2009-04-16,20:26:00,3,TX,48,0,EF-1
288,2009,4,16,2009-04-16,20:38:00,3,TX,48,0,EF-0
289,2009,4,16,2009-04-16,20:53:00,3,TX,48,0,EF-2
290,2009,4,16,2009-04-16,20:55:00,3,TX,48,0,EF-1
291,2009,4,16,2009-04-16,21:05:00,3,TX,48,0,EF-0
292,2009,4,16,2009-04-16,21:14:00,3,TX,48,0,EF-1
293,2009,4,16,2009-04-16,21:35:00,3,TX,48,0,EF-0
294,2009,4,16,2009-04-16,21:52:00,3,TX,48,0,EF-0
295,2009,4,17,2009-04-17,15:49:00,3,CO,8,0,EF-0
296,2009,4,17,2009-04-17,19:01:00,3,CO,8,0,EF-0
297,2009,4,18,2009-04-18,08:30:00,3,TX,48,0,EF-0
298,2009,4,18,2009-04-18,11:57:00,3,KS,20,0,EF-0
299,2009,4,18,2009-04-18,12:29:00,3,KS,20,0,EF-0
300,2009,4,18,2009-04-18,13:02:00,3,KS,20,0,EF-0
301,2009,4,18,2009-04-18,13:10:00,3,KS,20,0,EF-2
302,2009,4,18,2009-04-18,13:25:00,3,KS,20,0,EF-0
303,2009,4,18,2009-04-18,15:00:00,3,TX,48,0,EF-0
304,2009,4,18,2009-04-18,18:15:00,3,LA,22,0,EF-0
305,2009,4,18,2009-04-18,19:05:00,3,OK,40,0,EF-1
306,2009,4,18,2009-04-18,19:20:00,3,LA,22,0,EF-0
307,2009,4,18,2009-04-18,20:10:00,3,LA,22,0,EF-0
308,2009,4,19,2009-04-19,16:52:00,3,AL,1,0,EF-0
309,2009,4,19,2009-04-19,17:03:00,3,AL,1,0,EF-0
310,2009,4,19,2009-04-19,17:04:00,3,AL,1,0,EF-1
311,2009,4,19,2009-04-19,17:16:00,3,AL,1,0,EF-0
312,2009,4,19,2009-04-19,17:18:00,3,AL,1,0,EF-1
313,2009,4,19,2009-04-19,17:28:00,3,AL,1,0,EF-1
314,2009,4,19,2009-04-19,17:43:00,3,AL,1,0,EF-0
315,2009,4,19,2009-04-19,17:53:00,3,AL,1,0,EF-0
316,2009,4,19,2009-04-19,17:58:00,3,AL,1,0,EF-0
317,2009,4,19,2009-04-19,19:10:00,3,AL,1,0,EF-0
318,2009,4,19,2009-04-19,19:20:00,3,AL,1,0,EF-1
319,2009,4,19,2009-04-19,19:35:00,3,AL,1,0,EF-1
320,2009,4,19,2009-04-19,19:36:00,3,AL,1,0,EF-0
321,2009,4,19,2009-04-19,19:59:00,3,AL,1,0,EF-2
322,2009,4,19,2009-04-19,20:03:00,3,AL,1,0,EF-0
323,2009,4,19,2009-04-19,20:16:00,3,AL,1,0,EF-1
324,2009,4,19,2009-04-19,21:00:00,3,GA,13,0,EF-1
325,2009,4,19,2009-04-19,21:33:00,3,AL,1,0,EF-2
325,2009,4,19,2009-04-19,21:33:00,3,AL,1,0,EF-2
325,2009,4,19,2009-04-19,21:35:00,3,GA,13,0,EF-1
326,2009,4,20,2009-04-20,17:45:00,3,VA,51,0,EF-0
327,2009,4,25,2009-04-25,17:35:00,3,KS,20,0,EF-1
328,2009,4,25,2009-04-25,17:49:00,3,KS,20,0,EF-0
329,2009,4,25,2009-04-25,18:34:00,3,KS,20,0,EF-0
330,2009,4,25,2009-04-25,19:29:00,3,KS,20,0,EF-1
331,2009,4,25,2009-04-25,20:17:00,3,MO,29,0,EF-0
332,2009,4,25,2009-04-25,21:10:00,3,OK,40,0,EF-2
333,2009,4,25,2009-04-25,21:42:00,3,OK,40,0,EF-2
334,2009,4,25,2009-04-25,23:50:00,3,OK,40,0,EF-1
335,2009,4,26,2009-04-26,00:39:00,3,OK,40,0,EF-1
336,2009,4,26,2009-04-26,14:50:00,3,KS,20,0,EF-0
337,2009,4,26,2009-04-26,15:02:00,3,KS,20,0,EF-0
338,2009,4,26,2009-04-26,15:25:00,3,OK,40,0,EF-0
339,2009,4,26,2009-04-26,15:34:00,3,OK,40,0,EF-2
340,2009,4,26,2009-04-26,15:52:00,3,IA,19,0,EF-1
341,2009,4,26,2009-04-26,16:28:00,3,OK,40,0,EF-0
342,2009,4,26,2009-04-26,16:49:00,3,KS,20,0,EF-1
343,2009,4,26,2009-04-26,17:08:00,3,IA,19,0,EF-0
344,2009,4,26,2009-04-26,17:45:00,3,WI,55,0,EF-0
345,2009,4,26,2009-04-26,19:10:00,3,KS,20,0,EF-0
346,2009,4,27,2009-04-27,03:10:00,3,TX,48,0,EF-1
347,2009,4,27,2009-04-27,03:15:00,3,TX,48,0,EF-1
348,2009,4,27,2009-04-27,07:30:00,3,TX,48,0,EF-1
349,2009,4,27,2009-04-27,08:28:00,3,TX,48,0,EF-0
350,2009,4,27,2009-04-27,14:36:00,3,TX,48,0,EF-0
351,2009,4,27,2009-04-27,14:41:00,3,TX,48,0,EF-0
352,2009,4,27,2009-04-27,17:11:00,3,AR,5,0,EF-1
353,2009,4,27,2009-04-27,20:25:00,3,TX,48,0,EF-0
354,2009,4,27,2009-04-27,20:29:00,3,TX,48,0,EF-0
355,2009,4,28,2009-04-28,14:26:00,3,TX,48,0,EF-0
356,2009,4,28,2009-04-28,14:41:00,3,TX,48,0,EF-0
357,2009,4,28,2009-04-28,15:00:00,3,TX,48,0,EF-0
358,2009,4,28,2009-04-28,16:30:00,3,TX,48,0,EF-0
359,2009,4,28,2009-04-28,19:25:00,3,NM,35,0,EF-0
360,2009,4,29,2009-04-29,09:11:00,3,OK,40,0,EF-1
361,2009,4,29,2009-04-29,10:27:00,3,OK,40,0,EF-1
362,2009,4,29,2009-04-29,10:40:00,3,OK,40,0,EF-0
363,2009,4,29,2009-04-29,15:20:00,3,TX,48,0,EF-0
364,2009,4,29,2009-04-29,15:25:00,3,TX,48,0,EF-0
365,2009,4,29,2009-04-29,16:00:00,3,TX,48,0,EF-2
366,2009,4,29,2009-04-29,16:01:00,3,AR,5,0,EF-0
367,2009,4,29,2009-04-29,16:07:00,3,AR,5,0,EF-0
368,2009,4,29,2009-04-29,16:13:00,3,TX,48,0,EF-0
369,2009,4,29,2009-04-29,17:11:00,3,TX,48,0,EF-1
370,2009,4,29,2009-04-29,17:19:00,3,TX,48,0,EF-0
371,2009,4,29,2009-04-29,17:30:00,3,TX,48,0,EF-1
372,2009,4,29,2009-04-29,17:36:00,3,TX,48,0,EF-0
373,2009,4,29,2009-04-29,17:58:00,3,TX,48,0,EF-0
374,2009,4,29,2009-04-29,18:00:00,3,KS,20,0,EF-0
375,2009,4,29,2009-04-29,18:26:00,3,KS,20,0,EF-1
376,2009,4,29,2009-04-29,18:33:00,3,KS,20,0,EF-1
377,2009,4,29,2009-04-29,18:37:00,3,KS,20,0,EF-1
378,2009,4,29,2009-04-29,18:44:00,3,KS,20,0,EF-1
379,2009,4,29,2009-04-29,19:18:00,3,TX,48,0,EF-0
380,2009,4,29,2009-04-29,19:28:00,3,TX,48,0,EF-0
381,2009,4,30,2009-04-30,15:13:00,3,AR,5,0,EF-0
382,2009,4,30,2009-04-30,18:11:00,3,KY,21,0,EF-0
383,2009,4,30,2009-04-30,18:44:00,3,KY,21,0,EF-0
384,2009,5,1,2009-05-01,13:25:00,3,TN,47,0,EF-1
385,2009,5,1,2009-05-01,14:05:00,3,TN,47,0,EF-1
386,2009,5,1,2009-05-01,14:47:00,3,TX,48,0,EF-0
387,2009,5,1,2009-05-01,15:12:00,3,TX,48,0,EF-0
388,2009,5,1,2009-05-01,16:23:00,3,TX,48,0,EF-0
389,2009,5,1,2009-05-01,19:27:00,3,AR,5,0,EF-0
390,2009,5,1,2009-05-01,20:11:00,3,AR,5,0,EF-0
391,2009,5,2,2009-05-02,12:48:00,3,MS,28,0,EF-0
392,2009,5,2,2009-05-02,12:50:00,3,MS,28,0,EF-0
393,2009,5,2,2009-05-02,13:00:00,3,MS,28,0,EF-0
394,2009,5,2,2009-05-02,13:22:00,3,MS,28,0,EF-0
395,2009,5,2,2009-05-02,15:04:00,3,TX,48,0,EF-0
396,2009,5,2,2009-05-02,15:44:00,3,TX,48,0,EF-0
397,2009,5,2,2009-05-02,16:20:00,3,AL,1,0,EF-0
398,2009,5,2,2009-05-02,16:27:00,3,AL,1,0,EF-0
399,2009,5,2,2009-05-02,16:51:00,3,TX,48,0,EF-1
400,2009,5,2,2009-05-02,17:13:00,3,AR,5,0,EF-1
401,2009,5,2,2009-05-02,19:56:00,3,TX,48,0,EF-0
402,2009,5,3,2009-05-03,05:44:00,3,TX,48,0,EF-1
403,2009,5,3,2009-05-03,06:00:00,3,MS,28,0,EF-0
404,2009,5,3,2009-05-03,06:38:00,3,LA,22,0,EF-0
405,2009,5,3,2009-05-03,07:03:00,3,LA,22,0,EF-0
406,2009,5,3,2009-05-03,07:40:00,3,LA,22,0,EF-2
407,2009,5,3,2009-05-03,07:51:00,3,LA,22,0,EF-0
408,2009,5,3,2009-05-03,08:55:00,3,MS,28,0,EF-1
409,2009,5,3,2009-05-03,10:07:00,3,MS,28,0,EF-1
410,2009,5,3,2009-05-03,10:12:00,3,MS,28,0,EF-1
411,2009,5,3,2009-05-03,10:30:00,3,MS,28,0,EF-1
412,2009,5,3,2009-05-03,10:41:00,3,MS,28,0,EF-1
413,2009,5,3,2009-05-03,12:32:00,3,AL,1,0,EF-1
414,2009,5,3,2009-05-03,12:54:00,3,AL,1,0,EF-0
415,2009,5,3,2009-05-03,13:03:00,3,AL,1,0,EF-1
416,2009,5,3,2009-05-03,13:15:00,3,AL,1,0,EF-1
417,2009,5,3,2009-05-03,13:27:00,3,AL,1,0,EF-1
418,2009,5,3,2009-05-03,14:40:00,3,AL,1,0,EF-1
419,2009,5,3,2009-05-03,16:22:00,3,TN,47,0,EF-1
420,2009,5,3,2009-05-03,17:00:00,3,AL,1,0,EF-1
421,2009,5,3,2009-05-03,17:02:00,3,VA,51,0,EF-0
422,2009,5,3,2009-05-03,18:38:00,3,NC,37,0,EF-0
423,2009,5,3,2009-05-03,20:50:00,3,UT,49,0,EF-0
424,2009,5,4,2009-05-04,04:59:00,3,LA,22,0,EF-1
425,2009,5,4,2009-05-04,05:35:00,3,MS,28,0,EF-1
426,2009,5,4,2009-05-04,15:40:00,3,SC,45,0,EF-0
427,2009,5,4,2009-05-04,17:20:00,3,SC,45,0,EF-0
428,2009,5,4,2009-05-04,17:43:00,3,VA,51,0,EF-0
429,2009,5,5,2009-05-05,13:28:00,3,NC,37,0,EF-0
430,2009,5,5,2009-05-05,13:34:00,3,NC,37,0,EF-0
431,2009,5,5,2009-05-05,14:05:00,3,NC,37,0,EF-0
432,2009,5,5,2009-05-05,14:25:00,3,NC,37,0,EF-0
433,2009,5,5,2009-05-05,14:44:00,3,NC,37,0,EF-2
434,2009,5,5,2009-05-05,15:25:00,3,NC,37,0,EF-0
435,2009,5,5,2009-05-05,15:26:00,3,NC,37,0,EF-1
436,2009,5,5,2009-05-05,15:30:00,3,NC,37,0,EF-0
437,2009,5,6,2009-05-06,00:19:00,3,AR,5,0,EF-0
438,2009,5,6,2009-05-06,01:03:00,3,AR,5,0,EF-1
439,2009,5,6,2009-05-06,02:34:00,3,MS,28,0,EF-1
440,2009,5,6,2009-05-06,03:52:00,3,AR,5,0,EF-1
441,2009,5,6,2009-05-06,06:12:00,3,MS,28,0,EF-1
442,2009,5,6,2009-05-06,06:47:00,3,MS,28,0,EF-1
443,2009,5,6,2009-05-06,07:20:00,3,AL,1,0,EF-1
444,2009,5,6,2009-05-06,07:25:00,3,AL,1,0,EF-1
445,2009,5,6,2009-05-06,07:31:00,3,AL,1,0,EF-1
446,2009,5,6,2009-05-06,07:42:00,3,AL,1,0,EF-0
447,2009,5,6,2009-05-06,07:48:00,3,AL,1,0,EF-1
448,2009,5,6,2009-05-06,07:57:00,3,AL,1,0,EF-1
449,2009,5,6,2009-05-06,07:59:00,3,AL,1,0,EF-2
450,2009,5,6,2009-05-06,08:11:00,3,AL,1,0,EF-0
451,2009,5,6,2009-05-06,08:20:00,3,AL,1,0,EF-1
452,2009,5,6,2009-05-06,08:24:00,3,AL,1,0,EF-0
453,2009,5,6,2009-05-06,08:45:00,3,AL,1,0,EF-0
454,2009,5,6,2009-05-06,08:50:00,3,AL,1,0,EF-1
455,2009,5,6,2009-05-06,17:55:00,3,OR,41,0,EF-1
456,2009,5,6,2009-05-06,19:15:00,3,OR,41,0,EF-0
457,2009,5,6,2009-05-06,20:25:00,3,VA,51,0,EF-0
458,2009,5,6,2009-05-06,21:28:00,3,WA,53,0,EF-1
459,2009,5,7,2009-05-07,16:25:00,3,NC,37,0,EF-0
460,2009,5,7,2009-05-07,16:27:00,3,NC,37,0,EF-0
461,2009,5,7,2009-05-07,17:00:00,3,NC,37,0,EF-0
462,2009,5,7,2009-05-07,19:01:00,3,MO,29,0,EF-0
463,2009,5,8,2009-05-08,06:53:00,3,MO,29,0,EF-1
464,2009,5,8,2009-05-08,07:05:00,3,MO,29,0,EF-1
465,2009,5,8,2009-05-08,07:14:00,3,MO,29,0,EF-1
466,2009,5,8,2009-05-08,07:16:00,3,MO,29,0,EF-1
467,2009,5,8,2009-05-08,07:21:00,3,MO,29,0,EF-0
468,2009,5,8,2009-05-08,07:25:00,3,MO,29,0,EF-1
469,2009,5,8,2009-05-08,07:38:00,3,MO,29,0,EF-1
471,2009,5,8,2009-05-08,07:39:00,3,MO,29,0,EF-2
470,2009,5,8,2009-05-08,07:39:00,3,MO,29,0,EF-2
472,2009,5,8,2009-05-08,07:41:00,3,MO,29,0,EF-2
474,2009,5,8,2009-05-08,07:48:00,3,MO,29,0,EF-1
473,2009,5,8,2009-05-08,07:48:00,3,MO,29,0,EF-1
475,2009,5,8,2009-05-08,08:07:00,3,MO,29,0,EF-1
476,2009,5,8,2009-05-08,08:19:00,3,MO,29,0,EF-0
477,2009,5,8,2009-05-08,08:25:00,3,MO,29,0,EF-2
478,2009,5,8,2009-05-08,08:28:00,3,MO,29,0,EF-3
480,2009,5,8,2009-05-08,08:35:00,3,MO,29,0,EF-1
479,2009,5,8,2009-05-08,08:35:00,3,MO,29,0,EF-2
481,2009,5,8,2009-05-08,08:40:00,3,MO,29,0,EF-1
482,2009,5,8,2009-05-08,09:25:00,3,MO,29,0,EF-1
483,2009,5,8,2009-05-08,10:20:00,3,MO,29,0,EF-0
484,2009,5,8,2009-05-08,10:30:00,3,IL,17,0,EF-1
485,2009,5,8,2009-05-08,10:51:00,3,IL,17,0,EF-0
486,2009,5,8,2009-05-08,11:05:00,3,MO,29,0,EF-0
487,2009,5,8,2009-05-08,11:10:00,3,MO,29,0,EF-1
488,2009,5,8,2009-05-08,12:12:00,3,IL,17,0,EF-0
489,2009,5,8,2009-05-08,12:18:00,3,IL,17,0,EF-0
490,2009,5,8,2009-05-08,12:40:00,3,IA,19,0,EF-0
491,2009,5,8,2009-05-08,12:45:00,3,IL,17,0,EF-1
492,2009,5,8,2009-05-08,14:04:00,3,KY,21,0,EF-1
493,2009,5,8,2009-05-08,14:55:00,3,KY,21,0,EF-3
494,2009,5,8,2009-05-08,15:02:00,3,TN,47,0,EF-0
495,2009,5,8,2009-05-08,15:15:00,3,TN,47,0,EF-1
496,2009,5,8,2009-05-08,15:18:00,3,KY,21,0,EF-0
497,2009,5,8,2009-05-08,15:58:00,3,TN,47,0,EF-2
498,2009,5,8,2009-05-08,16:40:00,3,TN,47,0,EF-0
499,2009,5,8,2009-05-08,17:15:00,3,TN,47,0,EF-2
500,2009,5,8,2009-05-08,17:36:00,3,TN,47,0,EF-0
501,2009,5,8,2009-05-08,17:40:00,3,TN,47,0,EF-1
502,2009,5,8,2009-05-08,18:45:00,3,TN,47,0,EF-0
503,2009,5,8,2009-05-08,19:00:00,3,VA,51,0,EF-0
504,2009,5,8,2009-05-08,19:14:00,3,IL,17,0,EF-0
505,2009,5,8,2009-05-08,19:45:00,3,VA,51,0,EF-2
506,2009,5,8,2009-05-08,20:25:00,3,VA,51,0,EF-0
507,2009,5,8,2009-05-08,20:27:00,3,VA,51,0,EF-2
508,2009,5,8,2009-05-08,21:44:00,3,NC,37,0,EF-2
509,2009,5,8,2009-05-08,21:46:00,3,NC,37,0,EF-1
510,2009,5,9,2009-05-09,13:10:00,3,AR,5,0,EF-0
511,2009,5,9,2009-05-09,13:30:00,3,AR,5,0,EF-0
512,2009,5,9,2009-05-09,15:04:00,3,VT,50,0,EF-1
513,2009,5,10,2009-05-10,14:44:00,3,LA,22,0,EF-0
514,2009,5,10,2009-05-10,16:40:00,3,MS,28,0,EF-1
515,2009,5,12,2009-05-12,15:00:00,3,FL,12,0,EF-0
516,2009,5,12,2009-05-12,17:28:00,3,SD,46,0,EF-0
517,2009,5,12,2009-05-12,17:40:00,3,SD,46,0,EF-1
518,2009,5,12,2009-05-12,18:21:00,3,NE,31,0,EF-0
519,2009,5,13,2009-05-13,16:10:00,3,MO,29,0,EF-1
520,2009,5,13,2009-05-13,16:33:00,3,FL,12,0,EF-0
521,2009,5,13,2009-05-13,16:43:00,3,MO,29,0,EF-1
522,2009,5,13,2009-05-13,16:52:00,3,KS,20,0,EF-0
523,2009,5,13,2009-05-13,17:00:00,3,KS,20,0,EF-0
524,2009,5,13,2009-05-13,17:09:00,3,MO,29,0,EF-2
525,2009,5,13,2009-05-13,17:33:00,3,MO,29,0,EF-0
526,2009,5,13,2009-05-13,17:49:00,3,MO,29,0,EF-0
527,2009,5,13,2009-05-13,17:54:00,3,OK,40,0,EF-0
528,2009,5,13,2009-05-13,17:55:00,3,KS,20,0,EF-0
530,2009,5,13,2009-05-13,18:20:00,3,KS,20,0,EF-1
529,2009,5,13,2009-05-13,18:20:00,3,OK,40,0,EF-1
531,2009,5,13,2009-05-13,20:26:00,3,OK,40,0,EF-2
532,2009,5,13,2009-05-13,20:49:00,3,KS,20,0,EF-0
533,2009,5,13,2009-05-13,21:41:00,3,OK,40,0,EF-0
534,2009,5,13,2009-05-13,22:38:00,3,IL,17,0,EF-0
535,2009,5,13,2009-05-13,23:04:00,3,IL,17,0,EF-1
536,2009,5,13,2009-05-13,23:12:00,3,IL,17,0,EF-0
537,2009,5,13,2009-05-13,23:22:00,3,IL,17,0,EF-0
538,2009,5,13,2009-05-13,23:23:00,3,IL,17,0,EF-0
539,2009,5,14,2009-05-14,00:11:00,3,MO,29,0,EF-1
540,2009,5,14,2009-05-14,02:15:00,3,TX,48,0,EF-0
541,2009,5,14,2009-05-14,02:25:00,3,IN,18,0,EF-2
542,2009,5,14,2009-05-14,02:58:00,3,TX,48,0,EF-0
543,2009,5,14,2009-05-14,03:20:00,3,AR,5,0,EF-0
544,2009,5,14,2009-05-14,09:45:00,3,LA,22,0,EF-0
545,2009,5,15,2009-05-15,15:45:00,3,TX,48,0,EF-0
547,2009,5,15,2009-05-15,15:47:00,3,TX,48,0,EF-0
546,2009,5,15,2009-05-15,15:47:00,3,MO,29,0,EF-0
548,2009,5,15,2009-05-15,15:57:00,3,KS,20,0,EF-0
549,2009,5,15,2009-05-15,16:00:00,3,MO,29,0,EF-0
550,2009,5,15,2009-05-15,16:02:00,3,TX,48,0,EF-0
551,2009,5,15,2009-05-15,16:09:00,3,TX,48,0,EF-2
552,2009,5,15,2009-05-15,16:25:00,3,TX,48,0,EF-1
553,2009,5,15,2009-05-15,16:31:00,3,KS,20,0,EF-0
554,2009,5,15,2009-05-15,16:58:00,3,KS,20,0,EF-0
555,2009,5,15,2009-05-15,17:25:00,3,KS,20,0,EF-0
556,2009,5,16,2009-05-16,14:24:00,3,NY,36,0,EF-2
557,2009,5,16,2009-05-16,15:00:00,3,NY,36,0,EF-0
558,2009,5,16,2009-05-16,20:20:00,3,LA,22,0,EF-0
559,2009,5,19,2009-05-19,15:22:00,3,CO,8,0,EF-0
560,2009,5,19,2009-05-19,21:42:00,3,FL,12,0,EF-0
561,2009,5,22,2009-05-22,10:45:00,3,FL,12,0,EF-0
562,2009,5,22,2009-05-22,13:22:00,3,AZ,4,0,EF-0
563,2009,5,22,2009-05-22,15:00:00,3,AZ,4,0,EF-0
564,2009,5,22,2009-05-22,15:30:00,3,AZ,4,0,EF-0
565,2009,5,23,2009-05-23,12:55:00,3,AL,1,0,EF-0
566,2009,5,23,2009-05-23,14:27:00,3,NE,31,0,EF-0
567,2009,5,23,2009-05-23,15:59:00,3,AL,1,0,EF-0
568,2009,5,24,2009-05-24,12:15:00,3,ME,23,0,EF-1
569,2009,5,24,2009-05-24,12:30:00,3,UT,49,0,EF-0
570,2009,5,24,2009-05-24,13:28:00,3,TX,48,0,EF-0
571,2009,5,24,2009-05-24,14:12:00,3,CO,8,0,EF-0
572,2009,5,24,2009-05-24,15:42:00,3,CO,8,0,EF-0
573,2009,5,24,2009-05-24,15:45:00,3,TX,48,0,EF-1
574,2009,5,24,2009-05-24,16:25:00,3,TN,47,0,EF-0
575,2009,5,24,2009-05-24,16:58:00,3,TX,48,0,EF-0
576,2009,5,25,2009-05-25,12:20:00,3,CO,8,0,EF-0
577,2009,5,25,2009-05-25,13:45:00,3,KS,20,0,EF-0
578,2009,5,27,2009-05-27,15:10:00,3,OH,39,0,EF-0
579,2009,5,30,2009-05-30,18:44:00,3,OH,39,0,EF-0
580,2009,5,30,2009-05-30,18:48:00,3,OH,39,0,EF-0
581,2009,5,30,2009-05-30,18:50:00,3,OH,39,0,EF-0
582,2009,5,31,2009-05-31,15:00:00,3,ME,23,0,EF-0
583,2009,5,31,2009-05-31,15:29:00,3,ME,23,0,EF-1
584,2009,5,31,2009-05-31,15:42:00,3,ME,23,0,EF-1
585,2009,6,1,2009-06-01,15:30:00,3,IL,17,0,EF-0
586,2009,6,1,2009-06-01,15:58:00,3,WY,56,0,EF-1
587,2009,6,1,2009-06-01,20:24:00,3,KS,20,0,EF-0
588,2009,6,1,2009-06-01,20:57:00,3,NE,31,0,EF-0
589,2009,6,2,2009-06-02,13:15:00,3,LA,22,0,EF-0
590,2009,6,2,2009-06-02,13:39:00,3,KS,20,0,EF-0
591,2009,6,2,2009-06-02,14:45:00,3,KS,20,0,EF-0
592,2009,6,2,2009-06-02,15:25:00,3,IL,17,0,EF-0
593,2009,6,2,2009-06-02,15:36:00,3,OH,39,0,EF-0
594,2009,6,2,2009-06-02,15:40:00,3,TX,48,0,EF-0
595,2009,6,2,2009-06-02,15:43:00,3,TX,48,0,EF-0
596,2009,6,3,2009-06-03,11:48:00,3,AL,1,0,EF-0
597,2009,6,3,2009-06-03,13:14:00,3,TX,48,0,EF-0
598,2009,6,3,2009-06-03,16:45:00,3,VA,51,0,EF-1
599,2009,6,3,2009-06-03,18:30:00,3,TX,48,0,EF-0
600,2009,6,3,2009-06-03,19:43:00,3,WY,56,0,EF-0
601,2009,6,3,2009-06-03,20:22:00,3,TX,48,0,EF-0
602,2009,6,4,2009-06-04,09:10:00,3,FL,12,0,EF-0
603,2009,6,4,2009-06-04,14:03:00,3,GA,13,0,EF-0
604,2009,6,4,2009-06-04,15:17:00,3,TX,48,0,EF-0
605,2009,6,4,2009-06-04,16:35:00,3,OR,41,0,EF-0
606,2009,6,4,2009-06-04,17:08:00,3,TX,48,0,EF-0
607,2009,6,4,2009-06-04,17:33:00,3,TX,48,0,EF-0
608,2009,6,4,2009-06-04,17:40:00,3,TX,48,0,EF-0
609,2009,6,4,2009-06-04,18:50:00,3,GA,13,0,EF-0
610,2009,6,5,2009-06-05,16:07:00,3,WY,56,0,EF-2
611,2009,6,5,2009-06-05,17:49:00,3,NE,31,0,EF-0
612,2009,6,5,2009-06-05,20:39:00,3,TX,48,0,EF-0
613,2009,6,5,2009-06-05,21:53:00,3,NE,31,0,EF-0
617,2009,6,6,2009-06-06,15:50:00,3,WA,53,0,EF-0
616,2009,6,6,2009-06-06,15:50:00,3,WA,53,0,EF-0
615,2009,6,6,2009-06-06,15:50:00,3,WA,53,0,EF-0
614,2009,6,6,2009-06-06,15:50:00,3,WA,53,0,EF-0
618,2009,6,7,2009-06-07,13:03:00,3,WY,56,0,EF-0
618,2009,6,7,2009-06-07,13:03:00,3,WY,56,0,EF-0
619,2009,6,7,2009-06-07,13:05:00,3,CO,8,0,EF-0
618,2009,6,7,2009-06-07,13:10:00,3,NE,31,0,EF-0
620,2009,6,7,2009-06-07,13:50:00,3,CO,8,0,EF-1
621,2009,6,7,2009-06-07,14:23:00,3,CO,8,0,EF-0
622,2009,6,7,2009-06-07,14:27:00,3,CO,8,0,EF-1
623,2009,6,7,2009-06-07,14:43:00,3,CO,8,0,EF-0
624,2009,6,7,2009-06-07,16:17:00,3,IA,19,0,EF-0
625,2009,6,7,2009-06-07,17:33:00,3,IA,19,0,EF-0
626,2009,6,7,2009-06-07,19:13:00,3,MO,29,0,EF-0
627,2009,6,7,2009-06-07,19:27:00,3,MO,29,0,EF-0
628,2009,6,7,2009-06-07,21:44:00,3,MO,29,0,EF-0
629,2009,6,8,2009-06-08,14:38:00,3,WI,55,0,EF-0
630,2009,6,8,2009-06-08,16:30:00,3,IL,17,0,EF-2
631,2009,6,8,2009-06-08,18:42:00,3,IL,17,0,EF-0
632,2009,6,8,2009-06-08,19:00:00,3,IL,17,0,EF-1
633,2009,6,9,2009-06-09,12:33:00,3,KS,20,0,EF-0
634,2009,6,9,2009-06-09,13:25:00,3,KS,20,0,EF-0
